route_id,service_id,trip_id,trip_headsign,shape_id
17201,WD,WD173414,St.Thomas Mount,sh7
24217,WD,WD243415,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh8
17201,WD,WD173416,St.Thomas Mount,sh7
86117,WD,WD863501,Washermenpet Metro,sh12
01101,WD,WD013502,Airport,sh11
23117,WD,WD233601,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh14
02201,WD,WD023602,Airport,sh13
86117,WD,WD863701,Washermenpet Metro,sh12
01101,WD,WD013702,Airport,sh11
17201,WD,WD173801,St.Thomas Mount,sh7
24217,WD,WD243802,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh8
17201,WD,WD173803,St.Thomas Mount,sh7
24217,WD,WD243804,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh8
17201,WD,WD173805,St.Thomas Mount,sh7
02201,WD,WD023901,Airport,sh13
23117,WD,WD233902,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh14
02201,WD,WD023903,Airport,sh13
23117,WD,WD233904,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh14
23117,WD,WD234001,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh14
02201,WD,WD024002,Airport,sh13
23117,WD,WD234003,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh14
02201,WD,WD024004,Airport,sh13
86117,WD,WD864101,Washermenpet Metro,sh12
01101,WD,WD014102,Airport,sh11
86117,WD,WD864103,Washermenpet Metro,sh12
01101,WD,WD014104,Airport,sh11
17201,WD,WD174201,St.Thomas Mount,sh7
24217,WD,WD244202,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh8
17201,WD,WD174203,St.Thomas Mount,sh7
24217,WD,WD244204,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh8
01101,WD,WD014301,Airport,sh11
86117,WD,WD864302,Washermenpet Metro,sh12
01101,WD,WD014303,Airport,sh11
86117,WD,WD864304,Washermenpet Metro,sh12
01101,WD,WD014305,Airport,sh11
02201,WD,WD024401,Airport,sh13
23117,WD,WD234402,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh14
02201,WD,WD024403,Airport,sh13
23117,WD,WD234404,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh14
24217,WD,WD244501,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh8
17201,WD,WD174502,St.Thomas Mount,sh7
24217,WD,WD244503,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh8
17201,WD,WD174504,St.Thomas Mount,sh7
86117,WD,WD864601,Washermenpet Metro,sh12
01101,WD,WD014602,Airport,sh11
86117,WD,WD864603,Washermenpet Metro,sh12
01101,WD,WD014604,Airport,sh11
01101,WD,WD014701,Airport,sh11
86117,WD,WD864702,Washermenpet Metro,sh12
01101,WD,WD014703,Airport,sh11
86117,WD,WD864704,Washermenpet Metro,sh12
01101,WD,WD014705,Airport,sh11
23117,WD,WD234801,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh14
02201,WD,WD024802,Airport,sh13
23117,WD,WD234803,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh14
86117,WD,WD864901,Washermenpet Metro,sh12
01101,WD,WD014902,Airport,sh11
86117,WD,WD864903,Washermenpet Metro,sh12
01101,WD,WD014904,Airport,sh11
01101,WD,WD015001,Airport,sh11
86117,WD,WD865002,Washermenpet Metro,sh12
01101,WD,WD015003,Airport,sh11
86117,WD,WD865004,Washermenpet Metro,sh12
17201,WD,WD175101,St.Thomas Mount,sh7
24217,WD,WD245102,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh8
17201,WD,WD175103,St.Thomas Mount,sh7
24217,WD,WD245104,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh8
01101,WD,WD015201,Airport,sh11
86117,WD,WD865202,Washermenpet Metro,sh12
01101,WD,WD015203,Airport,sh11
86117,WD,WD865204,Washermenpet Metro,sh12
01101,WD,WD015205,Airport,sh11
02201,WD,WD025301,Airport,sh13
23117,WD,WD235302,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh14
02201,WD,WD025303,Airport,sh13
86117,WD,WD865401,Washermenpet Metro,sh12
01101,WD,WD015402,Airport,sh11
86117,WD,WD865403,Washermenpet Metro,sh12
01101,WD,WD015404,Airport,sh11
86117,WD,WD865405,Washermenpet Metro,sh12
86117,WD,WD865501,Washermenpet Metro,sh12
01101,WD,WD015502,Airport,sh11
86117,WD,WD865503,Washermenpet Metro,sh12
01101,WD,WD015504,Airport,sh11
86117,WD,WD865505,Washermenpet Metro,sh12
